Model,RMSE,MAE,MAPE,Corr
Random Walk,1.0,1.0,1.0,0.64
Hurdle (lags=2),0.846,0.981,1.111,0.702
Hurdle (lags=5),0.829,0.961,1.097,0.715
Hurdle (lags=8),0.822,0.956,1.086,0.722
